Rank,URL,Title,Country,Air Date,Time Slot,Episodes,Runtime,Network,Director,Writer,Leads,Leads_Likes,Leads_Max,Score,Voter,Watchers,Genre,Tag
0,https://mydramalist.com/18452-goblin/cast,Goblin, South Korea ," Dec  2, 2016 - Jan 21, 2017"," Friday, Saturday", 16, 1 hr. 22 min.,tvN,/people/16030-lee-eung-bok,/people/15905-kim-eun-sook,"/people/440-gong-yoo, /people/2599-kim-go-eun, /people/274-lee-dong-wook, /people/633-yoo-in-na, /people/5451-yook-sung-jae",7919.8,11700,8.8,98472,185456,"Comedy, Romance, Fantasy, Melodrama","Supernatural, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Bromance, Death, Heartfelt, Tearjerker, Soulmates"
1,https://mydramalist.com/18894-strong-woman-do-bong-soon/cast,Strong Woman Do Bong Soon, South Korea ," Feb 24, 2017 - Apr 15, 2017"," Friday, Saturday", 16, 1 hr. 7 min.,jTBC,/people/17370-lee-hyung-min,/people/16545-baek-mi-kyeong,"/people/1498-park-bo-young, /people/3014-park-hyung-shik, /people/9428-ji-soo",8541.0,10998,8.7,98831,171949,"Action, Comedy, Romance, Supernatural","Strong Female Lead, Female Lead Action Scenes, Superhuman Strength, Love Triangle, Nice Male Lead, Rich Man/Poor Woman, Father-Daughter Relationship, Gang, Boss-Employee Relationship, Rich Male Lead"
2,https://mydramalist.com/10904-descendants-of-the-sun/cast,Descendants of the Sun, South Korea ," Feb 24, 2016 - Apr 14, 2016"," Wednesday, Thursday", 16, 60 min.,KBS2,"/people/16019-baek-sang-hoon, /people/16030-lee-eung-bok","/people/15905-kim-eun-sook, /people/16024-kim-won-seok","/people/431-song-joong-ki, /people/294-song-hye-kyo, /people/1334-jin-goo, /people/1692-kim-ji-won",6197.5,14160,8.7,82240,156781,"Action, Comedy, Romance, Melodrama","Hardworking Female Lead, Multiple Couples, Bromance, Hardworking Male Lead, Gun Violence, Calm Male Lead, Filmed Abroad, Friendship, Strong Female Lead, Earthquake"
3,https://mydramalist.com/19262-weightlifting-fairy-kim-bok-joo/cast,Weightlifting Fairy Kim Bok Joo, South Korea ," Nov 16, 2016 - Jan 11, 2017"," Wednesday, Thursday", 16, 60 min.,MBC,"/people/15983-oh-hyun-jong, /people/23550-nam-sung-woo","/people/15982-yang-hee-seung, /people/17756-kim-soo-jin","/people/7660-lee-sung-kyung, /people/7714-nam-joo-hyuk, /people/923-lee-jae-yoon, /people/2690-kyung-soo-jin",5032.75,12066,8.8,87503,156300,"Comedy, Romance, Life, Sports","Weightlifting, Friends To Lovers, Strong Female Lead, Bantering Relationship, Male Chases Female First, Healing, Swimming, Sismance, Father-Daughter Relationship, Slow Burn Romance"
4,https://mydramalist.com/16589-w/cast,W, South Korea ," Jul 20, 2016 - Sep 14, 2016"," Wednesday, Thursday", 16, 60 min.,MBC,/people/15943-jung-dae-yoon,/people/15942-song-jae-jung,"/people/300-han-hyo-joo, /people/900-lee-jong-suk",12345.5,20227,8.5,80496,150027,"Thriller, Comedy, Romance, Fantasy","Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge"
5,https://mydramalist.com/27885-why-secretary-kim/cast,What's Wrong with Secretary Kim, South Korea ," Jun  6, 2018 - Jul 26, 2018"," Wednesday, Thursday", 16, 1 hr. 9 min.,tvN,/people/16362-park-joon-hwa,"/people/18328-baek-sun-woo, /people/18338-choi-bo-rim","/people/430-park-min-young, /people/2195-park-seo-joon",11803.0,14163,8.5,79927,147166,"Business, Comedy, Romance","Adapted From A Webtoon, Boss-Employee Relationship, Rich Male Lead, Steamy Kiss, Male Chases Female First, Calm Female Lead, Smart Female Lead, Trauma, Phobia, Strong Female Lead"
6,https://mydramalist.com/49865-psycho-but-it-s-okay/cast,It's Okay to Not Be Okay, South Korea ," Jun 20, 2020 - Aug  9, 2020"," Saturday, Sunday", 16, 1 hr. 15 min.,"Netflix, tvN","/people/19210-park-shin-woo, /people/20892-jeong-dong-yoon",/people/21200-jo-yong,"/people/424-kim-soo-hyun, /people/6516-seo-ye-ji, /people/4684-oh-jung-se",6912.333333333333,13837,9.0,79474,142392,"Psychological, Comedy, Romance, Drama","Possessive Female Lead, Independent Female Lead, Successful Female Lead, Melodrama, Healing, Selfless Male Lead, Badass Female Lead, Psychiatry, Childhood Connection, Trauma"
7,https://mydramalist.com/35729-emergency-lands-of-love/cast,Crash Landing on You, South Korea ," Dec 14, 2019 - Feb 16, 2020"," Sunday, Saturday", 16, 1 hr. 25 min.,"Netflix, tvN",/people/17013-lee-jung-hyo,/people/15977-park-ji-eun,"/people/183-hyun-bin, /people/293-son-ye-jin, /people/534-seo-ji-hye, /people/11840-kim-jung-hyun",3877.75,7377,9.0,79583,139111,"Military, Comedy, Romance, Political","North And South Korea, Strong Male Lead, Rich Female Lead, Fate, Nice Male Lead, Calm Male Lead, Friendship, Smart Female Lead, Strong Female Lead, Cohabitation"
8,https://mydramalist.com/6640-the-heirs/cast,The Heirs, South Korea ," Oct  9, 2013 - Dec 12, 2013"," Wednesday, Thursday", 20, 60 min.,SBS,"/people/17144-kang-shin-hyo, /people/17145-boo-sung-chul",/people/15905-kim-eun-sook,"/people/232-lee-min-ho, /people/210-park-shin-hye, /people/2406-kim-woo-bin",11064.333333333334,13604,7.6,71493,133203,"Comedy, Romance, Drama, Melodrama","High School, Family Pressure, Love Triangle, School Bullying, Rich Male Lead, Rich Man/Poor Woman, Male Chases Female First, Poor Female Lead, Controlling Parent, Sibling Rivalry"
9,https://mydramalist.com/21576-while-you-were-sleeping/cast,While You Were Sleeping, South Korea ," Sep 27, 2017 - Nov 16, 2017"," Wednesday, Thursday", 32, 30 min.,SBS,"/people/15974-oh-choong-hwan, /people/21078-park-soo-jin",/people/15970-park-hye-ryun,"/people/422-suzy, /people/900-lee-jong-suk, /people/6834-jung-hae-in, /people/996-lee-sang-yeob",9106.25,20227,8.7,64310,131431,"Mystery, Romance, Drama, Fantasy","Precognition, Nice Male Lead, Murder, Tragic Past, Steamy Kiss, First Love, Childhood Acquaintance, Smart Male Lead, Strong Female Lead, Healing"
10,https://mydramalist.com/7398-you-who-came-from-the-stars/cast,My Love from the Star, South Korea ," Dec 18, 2013 - Feb 27, 2014"," Wednesday, Thursday", 21, 58 min.,SBS,"/people/15974-oh-choong-hwan, /people/15976-jang-tae-yoo",/people/15977-park-ji-eun,"/people/424-kim-soo-hyun, /people/285-jun-ji-hyun, /people/645-park-hae-jin, /people/633-yoo-in-na",7570.75,13837,8.6,70747,131306,"Comedy, Romance, Drama, Supernatural","Interspecies Romance, Sassy Female Lead, Superhuman Strength, Time Manipulation, Star Crossed Lovers, Steamy Kiss, Special Power, Smart Male Lead, Airhead Female Lead, Opposites Attract"
11,https://mydramalist.com/32925-hotel-del-luna/cast,Hotel del Luna, South Korea ," Jul 13, 2019 - Sep  1, 2019"," Saturday, Sunday", 16, 1 hr. 20 min.,tvN,/people/15974-oh-choong-hwan,"/people/16011-hong-jung-eun, /people/16012-hong-mi-ran","/people/426-iu, /people/1500-yeo-jin-goo",8500.5,11980,8.7,61751,128333,"Horror, Comedy, Romance, Fantasy","Boss-Employee Relationship, Strong Female Lead, Ghost, Smart Female Lead, Supernatural, Ghost-seeing Male Lead, Death, Rich Female Lead, Nice Male Lead, Flashback To Past"
12,https://mydramalist.com/10814-healer/cast,Healer, South Korea ," Dec  8, 2014 - Feb 10, 2015"," Monday, Tuesday", 20, 60 min.,KBS2,"/people/15936-lee-jung-sub, /people/18871-kim-jin-woo",/people/15934-song-ji-na,"/people/806-ji-chang-wook, /people/430-park-min-young, /people/279-yoo-ji-tae",8951.0,16343,8.9,61252,121462,"Action, Thriller, Mystery, Romance","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Sassy Female Lead, Hardworking Female Lead, Trauma, Badass Male Lead"
13,https://mydramalist.com/11074-pinocchio/cast,Pinocchio, South Korea ," Nov 12, 2014 - Jan 15, 2015"," Wednesday, Thursday", 20, 58 min.,SBS,/people/15971-jo-soo-won,/people/15970-park-hye-ryun,"/people/900-lee-jong-suk, /people/210-park-shin-hye, /people/1944-kim-young-kwang, /people/4165-lee-yoo-bi, /people/3174-jin-kyung",7242.6,20227,8.4,59076,121097,"Thriller, Mystery, Comedy, Romance","Tragic Past, Hidden Identity, Double Identity, Journalism, Adopted Siblings Love, Cohabitation, Revenge, Wrongfully Accused, Bromance, News Media"
14,https://mydramalist.com/15999-moon-lovers-scarlet-heart-ryeo/cast,Moon Lovers: Scarlet Heart Ryeo, South Korea ," Aug 29, 2016 - Nov  1, 2016"," Monday, Tuesday", 20, 60 min.,SBS,/people/15913-kim-kyu-tae,/people/15916-jo-yoon-young,"/people/207-lee-joon-gi, /people/426-iu, /people/3850-kang-ha-neul",9682.666666666666,12112,8.7,58967,118756,"Historical, Romance, Fantasy, Melodrama","Goryeo Dynasty, Badass Male Lead, Power Struggle, Sibling Rivalry, Tearjerker, Adapted From A Novel, Death, Time Travel, Character Development, Gwangjong"
15,https://mydramalist.com/18816-the-legend-of-the-blue-sea/cast,The Legend of the Blue Sea, South Korea ," Nov 16, 2016 - Jan 25, 2017"," Wednesday, Thursday", 20, 60 min.,SBS,/people/16191-jin-hyeok,/people/15977-park-ji-eun,"/people/232-lee-min-ho, /people/285-jun-ji-hyun",9483.5,13604,8.4,53381,110636,"Comedy, Romance, Drama, Fantasy","Naive Female Lead, Interspecies Romance, Eccentric Female Lead, Cohabitation, Evil Stepmother, First Love, Sassy Female Lead, Hidden Identity, Nice Male Lead, Bromance"
16,https://mydramalist.com/24351-im-not-a-robot/cast,I'm Not a Robot, South Korea ," Dec  6, 2017 - Jan 25, 2018"," Wednesday, Thursday", 32, 35 min.,MBC,/people/15943-jung-dae-yoon,/people/16316-kim-sun-mi,"/people/589-yoo-seung-ho, /people/9225-chae-soo-bin, /people/1255-uhm-ki-joon",3628.0,7364,8.4,54503,107737,"Comedy, Romance, Drama, Sci-Fi","Haphephobia, Rich Male Lead, Deception, Robot, Eccentric Male Lead, Hardworking Female Lead, Forgiveness, Lying, Double Identity, Healing"
17,https://mydramalist.com/33898-itaewon-class/cast,Itaewon Class, South Korea ," Jan 31, 2020 - Mar 21, 2020"," Friday, Saturday", 16, 1 hr. 10 min.,"jTBC, Netflix","/people/27929-kang-min-gu, /people/29529-kim-seong-yoon",/people/34113-kwang-jin,"/people/2195-park-seo-joon, /people/14422-kim-da-mi, /people/14437-nara, /people/6288-yoo-jae-myung",4449.0,14163,8.5,58184,107712,"Business, Romance, Life, Drama","Revenge, Time Skip, Smart Female Lead, Female Chases Male First, Badass Female Lead, Strong Female Lead, Boss-Employee Relationship, Tragic Past, Nice Male Lead, Adapted From A Webtoon"
18,https://mydramalist.com/22472-fight-for-my-way/cast,Fight for My Way, South Korea ," May 22, 2017 - Jul 11, 2017"," Monday, Tuesday", 16, 60 min.,KBS2,"/people/21348-lee-na-jung, /people/23702-kim-dong-hwi",/people/16426-im-sang-choon,"/people/2195-park-seo-joon, /people/1692-kim-ji-won, /people/6005-ahn-jae-hong, /people/428-song-ha-yoon",5060.0,14163,8.5,54853,106948,"Business, Comedy, Romance, Sports","Friends To Lovers, Strong Male Lead, Strong Female Lead, Badass Male Lead, Character Development, Secondary Couple, Ex-girlfriend Comes Back, Poor Male Lead, First Love, Hardworking Male Lead"
19,https://mydramalist.com/61371-vincenzo/cast,Vincenzo, South Korea ," Feb 20, 2021 - May  2, 2021"," Saturday, Sunday", 20, 1 hr. 25 min.,"Netflix, tvN",/people/21894-kim-hee-won,/people/19618-park-jae-bum,"/people/431-song-joong-ki, /people/18974-jeon-yeo-bin, /people/423-ok-taec-yeon",6808.0,14160,9.0,58891,105716,"Comedy, Law, Crime, Drama","Revenge, Mafia, Eccentric Female Lead, Smart Male Lead, Slight Romance, Injustice, Bromance, Badass Male Lead, Father-Daughter Relationship, Smart Female Lead"
20,https://mydramalist.com/29185-my-id-is-gangnam-beauty/cast,My ID Is Gangnam Beauty, South Korea ," Jul 27, 2018 - Sep 15, 2018"," Friday, Saturday", 16, 60 min.,jTBC,/people/26145-choi-sung-bum,/people/26143-choi-soo-young,"/people/545-im-soo-hyang, /people/10399-cha-eun-woo, /people/3539-jo-woo-ri, /people/5101-kwak-dong-yeon",3272.75,7117,8.0,53807,101087,"Psychological, Romance, Youth, Drama","Nice Female Lead, Beauty Standards, Male Chases Female First, Nice Male Lead, Plastic Surgery, Adapted From A Webtoon, Calm Male Lead, Friends To Lovers, School Bullying, Childhood Acquaintance"
